,YEAR,COUNT_PER_TEN_DAYS,PRODUCT_CODE,MIN_PRODUCT_COST,MAX_PRODUCT_COST,AVG_PRODUCT_COST,UNIT
156,2021,3,111,2802.5,2811.0,2805.3125,kg
157,2021,3,112,3195.0,3195.0,3195.0,kg
158,2021,3,141,5321.428571428572,5321.428571428572,5321.428571428572,kg
159,2021,3,142,9622.916666666666,9659.583333333334,9648.333333333332,kg
160,2021,3,143,13438.333333333334,13848.333333333334,13711.874999999998,kg
161,2021,3,144,3633.0,3633.0,3633.0,kg
162,2021,3,151,4189.0,4429.0,4299.0,kg
163,2021,3,152,2595.5,2647.375,2623.15625,kg
164,2021,3,211,632.4,748.7,677.4125,kg
165,2021,3,212,1060.25,1157.875,1081.28125,kg
166,2021,3,213,2955.75,3300.0,3145.78125,kg
167,2021,3,214,4323.75,4772.5,4554.53125,kg
168,2021,3,215,1870.5,2269.75,2031.78125,kg
169,2021,3,221,6834.0,7554.0,7039.0,개
170,2021,3,223,2092.89,2196.555,2138.5695833333334,개
171,2021,3,224,1889.5,2943.5,2533.0625,kg
172,2021,3,225,2999.0,3158.0,3051.875,kg
173,2021,3,226,11510.0,12050.0,11755.0,kg
174,2021,3,231,468.25,566.5,510.75,kg
175,2021,3,232,1367.0,1474.6666666666667,1441.7083333333333,kg
176,2021,3,233,2378.25,2940.0,2617.75,kg
177,2021,3,241,28731.666666666668,28731.666666666668,28731.666666666664,kg
178,2021,3,242,10537.833333333334,12077.5,11501.833333333332,kg
179,2021,3,243,5131.0,7555.0,6295.625,kg
180,2021,3,244,5178.0,5248.0,5216.75,kg
181,2021,3,245,1771.0,1895.5,1814.25,kg
182,2021,3,246,5612.0,7387.5,6671.5625,kg
183,2021,3,247,6835.333333333333,6867.666666666667,6851.250000000001,kg
184,2021,3,252,4092.666666666667,6049.333333333333,4853.166666666667,kg
185,2021,3,253,11170.0,14770.0,13090.625,kg
186,2021,3,255,10710.0,12280.0,11728.75,kg
187,2021,3,256,7232.0,8692.0,7780.0,kg
188,2021,3,257,3602.5,3602.5,3602.5,kg
189,2021,3,258,6575.0,6915.0,6767.5,kg
190,2021,3,422,3436.5,3959.0,3761.8125,kg
191,2021,3,312,17455.0,17541.666666666668,17482.083333333332,kg
192,2021,3,313,11892.844444444445,11937.28888888889,11898.4,kg
193,2021,3,314,12896.666666666668,12950.0,12936.666666666668,kg
194,2021,3,315,3976.0,4817.75,4290.75,kg
195,2021,3,316,3092.0,3572.0,3311.0,kg
196,2021,3,317,4549.5,5325.0,4944.5625,kg
197,2021,3,411,6324.0,6607.0,6468.75,kg
198,2021,3,412,5021.333333333333,5068.0,5044.666666666667,kg
199,2021,3,414,12455.0,14395.0,13756.25,kg
200,2021,3,415,2448.0,2716.0,2610.5,kg
201,2021,3,416,4180.0,4220.0,4203.0,kg
202,2021,3,418,1490.7692307692307,1804.6153846153848,1682.5,kg
203,2021,3,419,4190.0,4230.0,4208.75,kg
204,2021,3,420,1661.6666666666665,1745.0,1713.75,kg
205,2021,3,421,3542.222222222222,3543.333333333333,3542.916666666666,kg
206,2021,3,424,3818.823529411765,4054.1176470588234,3984.4117647058824,kg
207,2021,3,428,10752.0,10872.0,10842.0,kg
208,2021,3,425,11710.0,12172.5,11931.5,kg
209,2021,4,111,2811.0,2831.0,2815.0,kg
210,2021,4,112,3195.0,3195.0,3195.0,kg
211,2021,4,141,5342.861904761904,5342.861904761904,5342.861904761904,kg
212,2021,4,142,9659.583333333334,9659.583333333334,9659.583333333334,kg
213,2021,4,143,13777.916666666666,13848.333333333334,13806.083333333334,kg
214,2021,4,144,3633.0,3633.0,3633.0,kg
215,2021,4,151,4189.0,4289.0,4259.0,kg
216,2021,4,152,2573.375,2652.125,2614.55,kg
217,2021,4,211,730.0,932.4,818.48,kg
218,2021,4,212,908.25,1047.75,1009.85,kg
219,2021,4,213,2997.5,3430.0,3225.5,kg
220,2021,4,214,2642.0,4835.0,3605.7,kg
221,2021,4,215,2155.5,2244.0,2207.3,kg
222,2021,4,221,8874.0,13930.0,11262.6,개
223,2021,4,223,1370.7250000000001,1917.5566666666666,1658.0556666666666,개
224,2021,4,224,1287.0,1589.15,1413.17,kg
225,2021,4,225,2844.0,3074.0,2907.8,kg
226,2021,4,226,8980.0,10830.0,10010.0,kg
227,2021,4,231,416.35,453.25,434.91999999999996,kg
228,2021,4,232,1343.0,1353.6666666666667,1350.7333333333333,kg
229,2021,4,233,1916.5,2465.75,2166.2,kg
230,2021,4,241,28688.333333333332,28731.666666666668,28697.0,kg
231,2021,4,242,6846.666666666667,10921.5,8798.833333333332,kg
232,2021,4,243,4906.0,6492.0,5826.4,kg
233,2021,4,244,5248.0,5281.333333333333,5267.999999999999,kg
234,2021,4,245,1935.5,2099.5,2012.5,kg
235,2021,4,246,5522.0,5864.0,5649.8,kg
236,2021,4,247,6665.0,6854.333333333333,6727.4,kg
237,2021,4,252,4972.0,5860.0,5407.2,kg
238,2021,4,253,7190.0,13985.0,10139.0,kg
239,2021,4,255,6061.0,10366.0,7874.0,kg
240,2021,4,256,5522.0,7260.0,6484.0,kg
241,2021,4,257,3552.5,3905.0,3713.5,kg
242,2021,4,258,6915.0,6915.0,6915.0,kg
243,2021,4,422,3212.0,3536.5,3346.3,kg
244,2021,4,312,17541.666666666668,17556.666666666668,17544.666666666668,kg
245,2021,4,313,11937.28888888889,11937.28888888889,11937.28888888889,kg
246,2021,4,314,12950.0,12950.0,12950.0,kg
247,2021,4,315,3201.25,4417.75,3982.45,kg
248,2021,4,316,1852.6,2932.0,2377.4,kg
249,2021,4,317,3653.0,5126.5,4538.1,kg
250,2021,4,411,5877.0,6247.0,6161.0,kg
251,2021,4,412,5021.333333333333,5068.0,5030.666666666666,kg
252,2021,4,414,14795.0,15295.0,15195.0,kg
253,2021,4,415,2258.0,5825.666666666666,3011.5333333333333,kg
254,2021,4,416,4104.0,4204.0,4184.0,kg
255,2021,4,418,1804.6153846153848,1820.0,1813.8461538461538,kg
256,2021,4,419,4115.0,4210.0,4153.0,kg
257,2021,4,420,1684.1666666666667,1745.0,1704.1666666666667,kg
258,2021,4,421,3543.333333333333,3715.5555555555557,3638.444444444444,kg
259,2021,4,424,4002.3529411764703,4037.6470588235293,4016.4705882352937,kg
260,2021,4,425,12050.0,12990.0,12676.8,kg
261,2021,4,428,10632.0,10832.0,10696.0,kg
262,2021,5,111,2831.0,2834.5,2833.8,kg
263,2021,5,112,3195.0,3200.0,3198.0,kg
264,2021,5,141,5342.861904761904,5368.096428571429,5357.240714285714,kg
265,2021,5,142,9659.583333333334,9659.583333333334,9659.583333333334,kg
266,2021,5,143,13777.916666666666,13777.916666666666,13777.916666666666,kg
267,2021,5,144,3633.0,3633.0,3633.0,kg
268,2021,5,151,4229.0,4409.0,4349.0,kg
269,2021,5,152,1678.0,1688.0,1680.0,kg
270,2021,5,211,842.4,951.2,902.5600000000001,kg
271,2021,5,212,690.5,891.5,789.35,kg
272,2021,5,213,2260.75,2810.75,2597.05,kg
273,2021,5,214,2614.0,2788.625,2697.7,kg
